doi,exponential_a,exponential_b,exponential_c,exponential_r2,linear_a,linear_b,linear_r2,mean_ss,std_dev_ss
10.1038/ncomms2398,130.82060342519213,0.15746039915196086,4.3182769510748855,0.74232399507539459,-0.0031935084652046086,6.0609448051384263,0.98818602859895377,4.1643835616438354,16.924602096559099
10.1038/ncomms2478,5.6587028085587168,0.0074734041258893383,2.2105395896121602,0.88679617226335405,-0.0016855485474349674,3.8562712192847517,0.94952366505025598,2.732943469785575,3.8683030554712143
10.1038/ncomms2668,37.038986025089301,0.10804690702251397,2.7759597294268619,0.53827303834679019,-0.00098462604526661224,3.3312196890741435,0.97905685005589427,2.7671601615074026,2.4889307319300054
10.1038/ncomms8383,163.51106753934997,0.11811498692465969,16.102980308827309,0.38136674624884404,-0.015931954709576025,19.669601043265182,0.97277741780280536,16.177419354838708,9.1169655043187046
10.1038/ncomms2590,115.3175655586337,0.14412352596344433,3.6953489077867787,0.45371761379786291,-0.0040989702014515572,5.8832814788087218,0.96095822156723809,3.7070552147239262,6.8818967132023161
10.1038/ncomms2620,92.114324411028846,0.0837992574239695,2.9016416099557039,0.28052158269423166,-0.0021677393296125696,4.3615784976205747,0.98278880064628449,3.0445969125214409,3.2401957885792512
10.1038/ncomms8121,51.799296416555784,0.080249569510900218,4.362668827671488,0.76270542362531846,-0.0090537041693337095,6.6765495596172242,0.95640922126707772,4.5363636363636362,7.6479475631292884
10.1038/ncomms8369,28.433903830486901,0.13212510972794109,3.7638494534158116,0.65533290861361193,0.00097056093529606974,3.5909795768597865,1.0248906283057995,3.8203125,3.8190181856523999
10.1038/ncomms2610,196.09068091514965,0.07429216003689755,3.8944331954416991,0.36151636708076273,-0.0091397303462609977,9.4472898467816311,0.95335268036072118,4.7231884057971012,10.449611946578052
10.1038/ncomms8423,100.93203217364633,0.23896681582375989,5.9673873846448302,0.81094674135887646,0.010129412397578474,3.729772638038813,1.0170408621992699,6.1010101010101012,17.372427716670511
10.1038/ncomms7762,174.27286671308246,23.452665601460609,4.2944785475177865,0.9999999998626462,0.0041427992112936796,2.5703263513405163,1.0496065486831065,3.7162162162162162,3.9669931096018978
10.1038/ncomms2480,77.622647650825655,0.079401996981233763,3.7439759932474086,0.36441210034052468,-0.0039480769068340749,6.1658012098645623,0.92651576122493084,3.8852459016393444,3.8390868624179988
10.1038/ncomms2658,159.99576330499619,0.1209742178865516,4.4061671500847499,0.3147486171510277,-0.004797864492518158,7.1716674411265959,0.955412337553046,4.4235560588901475,6.4523332830061397
10.1038/ncomms8560,211.6793053330762,0.18476780074809768,7.650047913042803,0.68851399383340184,-0.0084516671689016665,9.1172795320303575,1.0009295245166745,7.34375,23.6007274450916
10.1038/ncomms7764,6.600093185872578,0.1158798105126999,2.4004862772683295,0.87785750206746749,0.00052850827530992461,2.2433428706531648,1.0176185785292275,2.3969072164948453,2.1424022362541284
10.1038/ncomms3022,138.77295367433535,0.23878754889243975,2.9946514916147935,0.14891084027511384,-0.0021338848740253269,3.9135700731737053,0.98308297025213132,2.7962328767123288,2.9003872297944584
10.1038/ncomms2715,936.62810785237559,0.30032846109658706,6.9733804585315857,0.26115781998922516,-0.0023108243139143606,7.6271656664313143,1.002326031695199,6.1989795918367347,8.2363182147290033
10.1038/ncomms7969,41.060647097352145,0.040935825373498123,4.1282115094969027,0.59369107490755146,-0.0046081038094964999,5.7864998207108922,0.98390275123052817,4.5693215339233042,4.091548575560779
10.1038/ncomms2461,64.585577213296645,0.048879348589085915,2.8585613940601315,0.46425469476258652,-0.0026036097154945714,4.8955763343953924,0.97182274688328474,3.3113207547169812,4.3434253232472928
10.1038/ncomms8562,95.714744159833714,0.10805306021655799,6.7769469262673283,0.4035551157540333,-0.026266451619861186,12.333772186521523,0.87860343766718429,6.8328267477203646,7.1130270214356361
10.1038/ncomms3059,121.37607413614737,0.12247835489080552,4.3890279726534542,0.33326714452185063,-0.00027863938287864265,4.516754262494465,1.0102578009289895,4.3516483516483513,3.428090038525951
10.1038/ncomms8244,30.455954221752553,0.14636854500298024,2.9368663717913197,0.46400964177037396,-0.0028811961446207133,3.6137930446318829,0.98146952898561357,2.9585062240663902,2.5633751918988783
10.1038/ncomms7826,107.10904873480968,93.337773125054326,7.8909512651903357,0.63203515040057234,-0.013622401229698098,11.017338614773347,0.91534873789278126,7.4477611940298507,5.8431835068916431
