source_id,2015-06-29,2015-06-30,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-13,2015-07-14,2015-07-16,2015-07-19,2015-07-21,2015-07-23,2015-07-28,2015-07-29,2015-07-31,2015-08-04,2015-08-05,2015-08-10,2015-08-17,2015-08-18,2015-08-26,2015-09-08,2015-09-10,2015-09-22,2015-10-01,2015-10-02,2015-10-14,2015-10-15,2015-11-06,2015-12-01,2015-12-03,2015-12-04,2015-12-09,2015-12-16,2015-12-19,2015-12-23,2015-12-25,2015-12-29,2016-01-04,2016-01-05,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-19,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-02-02,2016-02-05,2016-02-07,2016-02-09,2016-02-10,2016-02-16,2016-02-23,2016-02-24,2016-02-25,2016-02-28,2016-02-29,2016-03-02,2016-03-03,2016-03-04,2016-03-07,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-16,2016-03-17,2016-03-21,2016-03-28,2016-03-30,2016-04-05,2016-04-11,2016-04-12,2016-04-13,2016-04-21,2016-04-23,2016-04-24,2016-05-05,2016-05-13,2016-05-17,2016-05-18,2016-05-20,2016-05-27,2016-05-29,2016-06-01,2016-06-02,2016-06-03,2016-06-04,2016-06-09,2016-06-11,2016-06-14,2016-06-19,2016-06-23,2016-06-24,2016-06-26,2016-06-27,2016-06-30,2016-07-04,2016-07-06,2016-07-11,2016-07-13,2016-07-15,2016-07-19,2016-07-25,2016-07-26,2016-07-31,2016-08-02,2016-08-03,source_id
views,25,31,14,7,13,2,7,35,18,3,4,1,3,3,3,2,4,1,2,1,2,1,6,1,1,2,1,1,1,2,1,1,1,3,1,1,2,1,2,3,3,4,2,1,2,3,2,2,9,3,2,1,1,2,2,3,1,2,2,2,3,10,3,3,1,1,1,1,1,2,1,1,1,5,2,3,1,1,1,1,1,2,1,2,2,2,2,3,1,1,4,1,2,1,1,9,1,1,1,1,2,14,2,2,5,1,2,2,1,3,2,1,2,1,2,3,1,3,4,1,1,2,1,1,views
news,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news
