source_id,2015-06-10,2015-06-11,2015-06-12,2015-06-13,2015-06-14,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-20,2015-06-21,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-27,2015-06-29,2015-06-30,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-17,2015-08-18,2015-08-24,2015-08-25,2015-08-26,2015-08-28,2015-08-29,2015-08-31,2015-09-01,2015-09-03,2015-09-06,2015-09-07,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-13,2015-09-15,2015-09-16,2015-09-17,2015-09-23,2015-09-27,2015-09-28,2015-10-01,2015-10-02,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-09,2015-10-13,2015-10-14,2015-10-16,2015-10-18,2015-10-19,2015-10-25,2015-10-26,2015-10-27,2015-10-29,2015-10-30,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-09,2015-11-10,2015-11-14,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-24,2015-11-25,2015-11-28,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-06,2015-12-10,2015-12-12,2015-12-14,2015-12-16,2015-12-17,2015-12-18,2015-12-28,2015-12-29,2016-01-01,2016-01-08,2016-01-09,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-18,2016-01-20,2016-01-22,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-30,2016-02-01,2016-02-02,2016-02-03,2016-02-08,2016-02-09,2016-02-12,2016-02-18,2016-02-19,2016-02-21,2016-02-23,2016-02-28,2016-03-05,2016-03-08,2016-03-09,2016-03-12,2016-03-13,2016-03-16,2016-03-20,2016-03-22,2016-03-24,2016-03-25,2016-03-27,2016-03-30,2016-04-05,2016-04-06,2016-04-08,2016-04-10,2016-04-13,2016-04-14,2016-04-19,2016-04-24,2016-04-25,2016-05-03,2016-05-08,2016-05-11,2016-05-12,2016-05-17,2016-05-18,2016-05-20,2016-05-22,2016-05-24,2016-05-26,2016-05-27,2016-05-30,2016-06-02,2016-06-03,2016-06-05,2016-06-06,2016-06-07,2016-06-08,2016-06-10,2016-06-17,2016-06-18,2016-06-20,2016-06-21,2016-06-23,2016-06-24,2016-06-27,2016-07-04,2016-07-08,2016-07-12,2016-07-15,2016-07-21,2016-07-23,2016-07-26,2016-08-01,source_id
views,248,104,31,7,13,27,31,37,11,10,7,2,19,114,32,92,73,22,21,42,8,23,4,2,3,3,16,6,7,11,8,1,5,5,5,1,2,1,4,1,7,3,1,6,5,2,1,3,3,1,1,1,6,1,5,2,1,4,7,4,4,1,1,1,3,2,4,1,1,4,4,1,1,3,1,1,3,1,5,2,2,1,2,1,6,5,2,2,1,3,3,6,5,3,2,2,2,1,1,4,1,3,1,4,7,3,2,2,3,3,2,4,2,2,3,2,1,2,4,1,1,2,1,3,1,4,1,2,2,3,2,2,2,2,1,2,4,1,1,1,3,3,1,1,1,2,2,4,1,3,2,2,1,1,5,1,2,1,1,1,2,3,2,1,11,1,2,9,2,3,5,9,1,1,2,3,1,1,1,1,1,1,4,3,2,1,2,5,1,2,1,9,4,1,3,2,1,1,3,1,1,1,4,1,2,1,1,1,1,1,3,1,1,1,views
news,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news
twitter,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitter
facebook,,,,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facebook
