source_id,2015-06-12,2015-06-13,2015-06-14,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-20,2015-06-21,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-27,2015-06-29,2015-06-30,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-01,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-08,2015-08-10,2015-08-11,2015-08-13,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-30,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-07,2015-09-08,2015-09-10,2015-09-14,2015-09-15,2015-09-17,2015-09-18,2015-09-21,2015-09-22,2015-09-24,2015-09-25,2015-09-27,2015-09-29,2015-10-01,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-10,2015-10-12,2015-10-13,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-22,2015-10-24,2015-10-25,2015-10-27,2015-10-29,2015-10-30,2015-11-01,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-05,2015-12-08,2015-12-09,2015-12-11,2015-12-16,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2016-01-02,2016-01-03,2016-01-06,2016-01-08,2016-01-09,2016-01-11,2016-01-12,2016-01-13,2016-01-15,2016-01-16,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-09,2016-02-12,2016-02-14,2016-02-15,2016-02-16,2016-02-19,2016-02-22,2016-02-25,2016-02-27,2016-02-28,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-09,2016-03-10,2016-03-12,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-23,2016-03-24,2016-03-27,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-11,2016-04-18,2016-04-19,2016-04-21,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-05-02,2016-05-03,2016-05-05,2016-05-07,2016-05-10,2016-05-11,2016-05-12,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-21,2016-05-27,2016-05-30,2016-06-02,2016-06-06,2016-06-07,2016-06-08,2016-06-11,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-19,2016-06-20,2016-06-23,2016-06-25,2016-06-26,2016-06-27,2016-06-28,2016-06-29,2016-07-04,2016-07-06,2016-07-07,2016-07-09,2016-07-14,2016-07-15,2016-07-20,2016-07-21,2016-07-26,2016-07-29,2016-08-01,2016-08-02,2016-08-03,2016-08-05,source_id
views,80,35,41,77,70,59,20,36,18,9,18,15,7,24,18,13,22,20,22,18,3,3,1,49,4,4,8,5,6,3,9,15,7,13,5,2,2,11,2,10,3,6,7,5,6,4,2,4,4,3,6,3,1,3,4,4,2,6,2,6,1,1,2,5,4,2,1,1,2,4,2,2,6,3,1,2,6,1,2,3,1,3,2,4,3,1,2,1,1,3,3,2,4,1,2,1,4,4,1,1,3,3,3,1,1,3,1,3,4,1,7,1,4,3,2,2,1,3,3,1,3,3,1,6,1,1,1,1,1,10,1,5,9,4,2,1,1,4,1,1,2,1,4,1,1,5,1,1,5,1,2,1,6,2,3,1,2,3,5,1,6,2,3,2,1,1,6,2,2,1,1,2,2,1,1,2,4,4,2,4,2,3,5,5,5,2,1,4,1,1,6,4,3,2,2,1,3,1,3,2,2,1,5,1,1,1,4,5,2,2,2,1,2,1,1,3,4,1,3,1,3,5,2,2,2,5,3,2,2,1,1,4,2,1,5,2,1,4,1,2,1,2,1,1,2,1,2,4,2,2,3,4,1,2,1,2,1,1,1,2,1,4,1,views
news,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news
twitter,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitter
facebook,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facebook
