source_id,2013-06-27,2013-06-28,2013-06-29,2013-06-30,2013-07-01,2013-07-02,2013-07-03,2013-07-04,2013-07-05,2013-07-08,2013-07-09,2013-07-10,2013-07-11,2013-07-12,2013-07-16,2013-07-17,2013-07-18,2013-07-19,2013-07-21,2013-07-22,2013-07-24,2013-07-25,2013-07-28,2013-07-30,2013-07-31,2013-08-02,2013-08-03,2013-08-07,2013-08-08,2013-08-12,2013-08-13,2013-08-14,2013-08-15,2013-08-16,2013-08-18,2013-08-19,2013-08-20,2013-08-21,2013-08-22,2013-08-26,2013-08-27,2013-08-28,2013-08-30,2013-09-01,2013-09-05,2013-09-07,2013-09-11,2013-09-12,2013-09-13,2013-09-15,2013-09-18,2013-09-19,2013-09-20,2013-09-26,2013-10-03,2013-10-12,2013-10-14,2013-10-15,2013-10-16,2013-10-18,2013-10-20,2013-10-22,2013-10-25,2013-10-28,2013-10-30,2013-10-31,2013-11-01,2013-11-03,2013-11-05,2013-11-13,2013-11-17,2013-11-22,2013-11-29,2013-12-01,2013-12-04,2013-12-06,2013-12-07,2013-12-10,2013-12-12,2013-12-13,2013-12-17,2013-12-23,2013-12-25,2014-01-06,2014-01-07,2014-01-10,2014-01-11,2014-01-14,2014-01-16,2014-01-17,2014-01-28,2014-01-30,2014-02-01,2014-02-03,2014-02-09,2014-02-11,2014-02-14,2014-02-19,2014-02-21,2014-02-26,2014-03-03,2014-03-05,2014-03-06,2014-03-11,2014-03-12,2014-03-13,2014-03-14,2014-03-15,2014-03-16,2014-03-17,2014-03-18,2014-03-20,2014-03-24,2014-04-01,2014-04-06,2014-04-07,2014-04-08,2014-04-10,2014-04-12,2014-04-15,2014-04-16,2014-04-17,2014-04-22,2014-05-01,2014-05-02,2014-05-04,2014-05-05,2014-05-06,2014-05-07,2014-05-08,2014-05-09,2014-05-14,2014-05-15,2014-05-16,2014-05-21,2014-05-28,2014-05-29,2014-06-03,2014-06-12,2014-06-13,2014-07-02,2014-07-04,2014-07-15,2014-07-16,2014-07-25,2014-08-11,2014-08-15,2014-08-29,2014-09-02,2014-09-09,2014-09-10,2014-09-27,2014-10-01,2014-10-03,2014-10-14,2014-10-15,2014-10-20,2014-10-21,2014-10-23,2014-10-29,2014-11-02,2014-11-04,2014-11-08,2014-11-10,2014-11-19,2014-11-26,2014-12-01,2014-12-07,2014-12-17,2015-01-06,2015-02-18,2015-03-13,2015-03-21,2015-03-28,2015-04-06,2015-04-13,2015-04-24,2015-05-06,2015-05-19,2015-05-28,2015-06-09,2015-06-10,2015-06-18,2015-06-21,2015-07-03,2015-07-20,2015-07-24,2015-07-28,2015-08-06,2015-08-12,2015-08-27,2015-09-21,2015-09-24,2015-09-25,2015-10-15,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-23,2015-10-29,2015-11-06,2015-11-07,2015-11-11,2015-11-14,2015-11-17,2015-11-19,2015-11-20,2015-11-24,2015-12-01,2015-12-13,2016-01-04,2016-01-05,2016-01-07,2016-01-11,2016-01-12,2016-01-13,2016-01-17,2016-01-18,2016-01-23,2016-01-25,2016-01-26,2016-01-27,2016-01-29,2016-01-30,2016-02-01,2016-02-03,2016-02-05,2016-02-06,2016-02-07,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-15,2016-02-17,2016-02-19,2016-02-21,2016-02-25,2016-03-01,2016-03-05,2016-03-07,2016-03-09,2016-03-10,2016-03-12,2016-03-14,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-23,2016-03-26,2016-03-30,2016-03-31,2016-04-01,2016-04-03,2016-04-04,2016-04-05,2016-04-07,2016-04-11,2016-04-16,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-25,2016-04-29,2016-05-03,2016-05-04,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-13,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-29,2016-06-05,2016-06-06,2016-06-09,2016-06-10,2016-06-14,2016-06-17,2016-06-18,2016-06-19,2016-06-20,2016-06-22,2016-06-24,2016-06-25,2016-06-27,2016-06-28,2016-07-01,2016-07-04,2016-07-12,2016-07-13,2016-07-14,2016-07-16,2016-07-17,2016-07-19,2016-07-21,2016-07-25,2016-07-27,2016-07-28,2016-07-30,2016-08-03,2016-08-04,source_id
views,,58,37,42,44,31,13,10,10,7,6,58,1,1,5,10,3,6,3,2,2,3,1,3,4,3,1,6,1,2,1,1,4,1,1,5,3,3,5,2,2,5,6,1,1,1,2,3,3,10,1,3,1,3,1,2,6,1,2,3,1,3,5,2,1,1,1,3,1,1,1,4,1,1,2,4,1,4,1,1,1,1,1,2,3,3,4,4,4,2,1,4,1,1,1,3,3,4,1,1,1,1,1,1,1,1,4,2,1,1,9,1,2,3,1,1,5,2,2,4,1,1,8,1,1,1,1,5,1,4,1,3,1,1,2,1,1,2,2,1,1,8,1,3,2,1,1,1,2,3,5,3,2,2,,1,6,3,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,3,2,1,1,5,5,2,3,1,1,1,2,1,2,1,1,3,1,1,1,5,1,2,3,1,1,1,6,5,1,2,2,4,1,4,2,1,1,1,4,4,1,1,1,1,1,2,1,1,1,2,1,6,1,9,1,4,7,2,1,3,1,1,1,2,2,1,2,1,2,1,1,1,1,4,1,1,2,2,3,2,2,7,1,4,1,2,3,3,2,2,2,2,1,3,1,1,2,2,2,3,5,2,1,1,1,1,6,4,1,2,4,1,1,1,1,7,2,1,1,1,views
news,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,news
twitter,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitter
wikipedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wikipedia
facebook,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facebook
blogs,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blogs
