doi,"views, total","views, first month","views, first week","views, first day"
10.1038/ncomms2906,5506,1466,928,113
10.1038/ncomms2680,5726,1778,1020,91
10.1038/ncomms2515,2106,830,418,35
10.1038/ncomms2810,2931,1303,798,169
10.1038/ncomms7640,625,172,116,28
10.1038/ncomms2826,3155,1399,995,121
10.1038/ncomms2604,2786,969,563,87
10.1038/ncomms2712,1581,442,241,23
10.1038/ncomms8042,1916,610,417,93
10.1038/ncomms7781,2115,426,237,49
10.1038/ncomms2971,4728,1182,664,119
10.1038/ncomms2973,679,284,187,40
10.1038/ncomms3097,7231,1744,1082,107
10.1038/ncomms8221,12867,4855,2639,585
10.1038/ncomms7858,2725,595,308,52
10.1038/ncomms8227,2891,542,340,48
10.1038/ncomms2945,1599,430,213,39
10.1038/ncomms2905,2424,730,421,91
10.1038/ncomms2518,4955,850,522,144
10.1038/ncomms2915,999,350,224,41
10.1038/ncomms2662,1986,723,495,105
10.1038/ncomms7416,1759,564,366,38
10.1038/ncomms2997,2902,1161,763,223
10.1038/ncomms2803,10137,3476,2541,332
10.1038/ncomms7876,666,298,205,20
10.1038/ncomms2900,3837,1454,834,135
10.1038/ncomms2398,3539,1111,638,140
10.1038/ncomms2478,1648,250,92,8
10.1038/ncomms2590,3376,967,678,125
10.1038/ncomms2480,4318,1005,474,62
10.1038/ncomms8156,919,267,155,32
10.1038/ncomms2919,19123,1045,716,140
10.1038/ncomms2467,1350,326,204,34
10.1038/ncomms7940,1524,546,386,126
10.1038/ncomms2552,6574,1152,846,144
10.1038/ncomms2489,4847,1422,971,146
10.1038/ncomms7758,1657,458,323,95
10.1038/ncomms7992,2831,832,486,50
10.1038/ncomms8246,2509,1186,683,86
10.1038/ncomms2788,881,287,150,43
10.1038/ncomms2464,13713,3416,1643,454
10.1038/ncomms2839,6473,2242,1289,272
10.1038/ncomms8372,3481,1156,716,109
10.1038/ncomms8421,1145,357,251,88
10.1038/ncomms3062,4210,1531,425,85
10.1038/ncomms2767,2481,862,461,129
10.1038/ncomms2916,1667,515,295,48
10.1038/ncomms2706,1645,597,452,113
10.1038/ncomms8178,1391,625,430,88
10.1038/ncomms2764,2844,827,364,127
10.1038/ncomms2795,3226,874,456,65
10.1038/ncomms2876,5422,943,480,69
10.1038/ncomms8267,1706,590,323,156
10.1038/ncomms7893,950,257,165,55
