source_id,2015-04-17,2015-04-18,2015-04-19,2015-04-20,2015-04-21,2015-04-23,2015-04-24,2015-04-25,2015-04-26,2015-04-27,2015-04-28,2015-04-29,2015-04-30,2015-05-04,2015-05-05,2015-05-06,2015-05-07,2015-05-19,2015-05-20,2015-05-21,2015-05-22,2015-05-23,2015-05-25,2015-05-29,2015-05-31,2015-06-05,2015-06-06,2015-06-08,2015-06-11,2015-06-12,2015-06-14,2015-06-15,2015-06-17,2015-06-18,2015-06-24,2015-06-26,2015-06-30,2015-07-01,2015-07-04,2015-07-14,2015-07-15,2015-07-19,2015-07-23,2015-07-28,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-10,2015-08-12,2015-08-13,2015-08-17,2015-08-25,2015-09-10,2015-09-11,2015-09-21,2015-09-23,2015-09-28,2015-09-29,2015-10-09,2015-10-12,2015-10-16,2015-10-23,2015-10-25,2015-10-27,2015-11-04,2015-11-05,2015-11-07,2015-11-09,2015-11-10,2015-11-14,2015-11-15,2015-11-16,2015-11-23,2015-11-24,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30,2015-12-01,2015-12-04,2015-12-08,2015-12-16,2015-12-24,2016-01-05,2016-01-07,2016-01-08,2016-01-11,2016-01-14,2016-01-15,2016-01-17,2016-01-18,2016-01-19,2016-01-21,2016-01-22,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-09,2016-02-14,2016-02-15,2016-02-16,2016-02-18,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-29,2016-03-02,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-16,2016-03-18,2016-03-22,2016-03-23,2016-03-25,2016-03-28,2016-04-02,2016-04-03,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-12,2016-04-13,2016-04-14,2016-04-16,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-23,2016-04-27,2016-04-28,2016-04-30,2016-05-01,2016-05-04,2016-05-08,2016-05-14,2016-05-15,2016-05-16,2016-05-19,2016-05-22,2016-05-25,2016-05-27,2016-05-30,2016-05-31,2016-06-01,2016-06-08,2016-06-09,2016-06-10,2016-06-12,2016-06-14,2016-06-17,2016-06-20,2016-06-22,2016-06-23,2016-06-24,2016-06-26,2016-06-27,2016-07-01,2016-07-02,2016-07-04,2016-07-11,2016-07-12,2016-07-14,2016-07-15,2016-07-21,2016-07-23,2016-07-25,2016-07-27,2016-07-29,2016-08-01,2016-08-03,2016-08-04,2016-08-05,source_id
views,49,13,30,46,14,4,1,1,1,4,3,5,4,6,1,3,3,7,24,2,4,1,1,4,2,1,1,1,4,2,2,4,6,2,2,1,1,7,1,2,1,1,3,1,5,2,2,3,3,1,1,2,2,1,1,2,2,3,4,1,1,2,2,1,1,3,1,4,3,1,1,2,3,1,3,3,4,2,1,1,7,1,2,1,1,2,1,4,1,4,3,4,2,1,2,1,1,1,3,2,1,1,1,4,1,3,1,2,1,1,1,3,1,1,3,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,5,,2,4,1,3,2,1,1,4,3,1,2,3,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,3,2,1,1,2,3,1,2,1,1,4,11,1,3,1,2,1,1,2,1,1,1,2,1,views
twitter,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitter
